country,continent,gdpPerCapita2021,population,area,gini
Uzbekistan,Asia,7830.0,35431136.0,447400,36.8
India,Asia,7333.0,1374305400.0,3287263,35.1
Angola,Africa,6878.0,32097671.0,1246700,
Cape Verde,Africa,6837.0,563198.0,4033,
Syria,Asia,6373.0,18276000.0,185180,
Tonga,Oceania,6156.0,99532.0,747,
Belize,Americas,6133.0,430191.0,22966,49.8
Mauritania,Africa,5993.0,4271197.0,1030700,39.0
Pakistan,Asia,5973.0,225200000.0,881913,29.6
Ghana,Africa,5968.0,30832019.0,238533,42.3
Bangladesh,Asia,5733.0,172388884.0,148460,32.1
Honduras,Americas,5698.0,9546178.0,112492,57.7
Palestine,Asia,5664.0,5227193.0,6020,
Nicaragua,Americas,5648.0,6595674.0,130373,40.5
Ivory Coast,Africa,5642.0,27087732.0,322463,41.5
Kyrgyzstan,Asia,5323.0,6700000.0,199951,33.4
Djibouti,Africa,5300.0,976107.0,23200,40.9
Nigeria,Africa,5280.0,211401000.0,923768,43.7
Kenya,Africa,5274.0,47564296.0,580367,42.5
Samoa,Oceania,5260.0,199853.0,2842,
Venezuela,Americas,5178.0,28705000.0,916445,39.0
Cambodia,Asia,4930.0,15552211.0,181035,37.9
Myanmar,Asia,4831.0,55294979.0,676578,
Tuvalu,Oceania,4674.0,10679.0,26,
Nepal,Asia,4199.0,29192480.0,147181,32.8
Congo,Africa,4169.0,5657000.0,342000,
Sudan,Africa,4082.0,44274530.0,1861484,
Papua New Guinea,Oceania,3956.0,9122994.0,462840,50.9
São Tomé and Príncipe,Africa,3926.0,214610.0,964,
Tajikistan,Asia,3856.0,9504000.0,143100,32.6
Marshall Islands,Oceania,3767.0,54516.0,181,
Cameroon,Africa,3745.0,24348251.0,475442,44.6
Senegal,Africa,3625.0,17223497.0,196722,40.3
Benin,Africa,3573.0,12506347.0,114763,36.5
Micronesia,Oceania,3372.0,105754.0,702,61.1
Zambia,Africa,3322.0,18400556.0,752612,57.5
East Timor,Asia,3119.0,1317780.0,14919,31.9
Comoros,Africa,3022.0,758316.0,1862,55.9
Ethiopia,Africa,2973.0,117876000.0,1104300,33.0
Haiti,Americas,2962.0,11743017.0,27750,60.8
Tanzania,Africa,2863.0,59441988.0,945087,37.6
Lesotho,Africa,2829.0,2159000.0,30355,63.2
Guinea,Africa,2731.0,12907395.0,245857,39.4
Uganda,Africa,2706.0,42885900.0,241550,39.5
Zimbabwe,Africa,2698.0,15790716.0,390757,50.1
Vanuatu,Oceania,2646.0,301295.0,12189,
Solomon Islands,Oceania,2483.0,728041.0,28896,
Afghanistan,Asia,2474.0,32890171.0,652864,
Mali,Africa,2469.0,20856000.0,1240192,40.1
Rwanda,Africa,2458.0,12955768.0,26338,46.8
Guinea-Bissau,Africa,2409.0,1646077.0,36125,
Gambia,Africa,2384.0,2487000.0,11295,50.2
Burkina Faso,Africa,2334.0,21510181.0,274222,39.5
Togo,Africa,2261.0,7886000.0,56785,
Kiribati,Oceania,2242.0,120740.0,811,
Yemen,Asia,1924.0,30491000.0,555000,37.7
Eritrea,Africa,1862.0,3601000.0,117600,
Sierra Leone,Africa,1771.0,8297882.0,71740,34.0
Madagascar,Africa,1639.0,26923353.0,587041,47.5
Chad,Africa,1621.0,16818391.0,1284000,43.3
Liberia,Africa,1602.0,4661010.0,111369,
Niger,Africa,1320.0,24112753.0,1267000,34.0
Mozambique,Africa,1293.0,30832244.0,801590,45.6
DR Congo,Africa,1132.0,92378000.0,2344858,
Central African Republic,Africa,1013.0,5633412.0,622984,43.6
Malawi,Africa,1005.0,18898441.0,118484,39.0
Somalia,Africa,941.0,16360000.0,637657,
South Sudan,Africa,825.0,13249924.0,644329,46.0
Burundi,Africa,772.0,12574571.0,27834,42.4
Liechtenstein,Europe,,39151.0,160,
Monaco,Europe,,38350.0,2.02,
Isle of Man,Europe,,,,
Bermuda,Americas,,,,
Cayman Islands,Americas,,,,
Falkland Islands,Americas,,,,
Gibraltar,Europe,,,,
Jersey,Europe,,,,
Guernsey,Europe,,,,
Andorra,Europe,,79535.0,468,
Saint Pierre and Miquelon,Americas,,,,
Greenland,Americas,,,,
Faroe Islands,Europe,,,,
U.S. Virgin Islands,Americas,,,,
Sint Maarten,Americas,,,,
Guam,Oceania,,,,
British Virgin Islands,Americas,,,,
New Caledonia,Oceania,,,,
Turks and Caicos Islands,Americas,,,,
Curaçao,Americas,,,,
Northern Mariana Islands,Oceania,,,,
Saint Martin,Americas,,,,
French Polynesia,Oceania,,,,
Cook Islands,Oceania,,,,
Cuba,Americas,,11181595.0,109884,
Anguilla,Americas,,,,
American Samoa,Oceania,,,,
Tokelau,Oceania,,,,
Niue,Oceania,,,,
Wallis and Futuna,Oceania,,,,
North Korea,Asia,,25660000.0,120540,
